#### UTF-8 
#### 外国人名，中英对照的，大约有4万个
#### 共39687条
#### 来源维基百科(wikipedia), https://github.com/beifeng600

克利斯登·奈加特	Kristen Nygaard
阿诺·舒華辛力加	Arnold Schwarzenegger
玛格丽特·撒切尔	Margaret Thatcher
玛格利特·希尔达·撒切尔	Margaret Thatcher
德怀特·艾森豪威尔	Dwight D. Eisenhower
德怀特·戴维·艾森豪威尔	Dwight D. Eisenhower
伦纳德·伯恩斯坦	Leonard Bernstein
雷昂纳德·伯恩斯坦	Leonard Bernstein
列昂纳德·伯恩斯坦	Leonard Bernstein
莱恩纳德·伯恩斯坦	Leonard Bernstein
列奥纳多·伯恩斯坦	Leonard Bernstein
莱奥纳德·伯恩斯坦	Leonard Bernstein
恩里科·费米	Enrico Fermi
丹尼斯·加博尔	Dennis Gabor
柯奈尔·海门斯	Corneille Heymans
西里尔·欣谢尔伍德	Cyril Norman Hinshelwood
卡尔·央斯基	Karl Guthe Jansky
弗雷德里克·肖邦	Frédéric Chopin
约翰·霍華德	John Howard
亨利·戴维·梭罗	Henry David Thoreau
亨利·戴維·梭羅	Henry David Thoreau
萨达姆·侯塞因	Saddam Hussein
乔治·比才	Georges Bizet
巴勃罗·畢卡索	Pablo Picasso
巴伯罗·毕加索	Pablo Picasso
托马斯·斯特爾那斯·艾略特	T. S. Eliot
约翰·濟慈	John Keats
威廉·理查德·華格納	Richard Wagner
约翰·哈濱遜	John Harbison
艾兹拉·龐德	Ezra Pound
巴托克·贝拉	Béla Bartók
奥斯卡·王爾德	Oscar Wilde
路德维希·凡·貝多芬	Ludwig van Beethoven
卡尔·馬利亞·馮·韦伯	Carl Maria von Weber
克劳德·香农	Claude Shannon
弗雷德里克·蕭邦	Frédéric Chopin
戴维·阿滕伯勒	David Attenborough
大卫·爱登堡	David Attenborough
约翰·梅杰	John Major
爱德华·希思	Edward Heath
詹姆斯·卡拉漢	James Callaghan
马哈迪·莫哈末	Mahathir Mohamad
尼基塔·赫魯曉夫	Nikita Khrushchev
丹·奎尔	Dan Quayle
约瑟夫·尼达姆	Joseph Needham
卡尔·奥尔夫	Carl Orff
卡尔·林奈	Carl Linnaeus
德米特里·德米特里耶维奇·肖斯塔科维奇	Dmitri Shostakovich
千瓦·時	Kilowatt hour
戈特弗里德·莱布尼茨	Gottfried Wilhelm Leibniz
爱米尔·涂尔干	Émile Durkheim
马克斯·韦伯	Max Weber
格奥尔格·齐美尔	Georg Simmel
马丁·路德	Martin Luther
威廉·哈密頓	William Rowan Hamilton
艾兹赫尔·戴克斯特拉	Edsger W. Dijkstra
比尔·盖茨	Bill Gates
亚瑟·叔本华	Arthur Schopenhauer
让-保罗·萨特	Jean-Paul Sartre
海因里希·海涅	Heinrich Heine
克里斯托弗·哥伦布	Christopher Columbus
伊万·谢尔盖耶维奇·屠格涅夫	Ivan Turgenev
路易·达盖尔	Louis Daguerre
约瑟夫·尼塞福爾·涅普斯	Nicéphore Niépce
尼尔斯·玻尔	Niels Bohr
让·皮亞傑	Jean Piaget
约翰·肯尼迪	John F. Kennedy
罗伯特·舒曼	Robert Schumann
穆斯塔法·凯末尔·阿塔图尔克	Mustafa Kemal Atatürk
弗罗伦斯·南丁格爾	Florence Nightingale
卡尔·弗里德里希·高斯	Carl Friedrich Gauss
爱德蒙多·德·亞米契斯	Edmondo De Amicis
列奥纳多·达·芬奇	Leonardo da Vinci
J·R·R·托尔金	J. R. R. Tolkien
艾萨克·牛顿	Isaac Newton
理查德·尼克松	Richard Nixon
弗里德里希·恩格斯	Friedrich Engels
詹姆斯·克拉克·麦克斯韦	James Clerk Maxwell
埃克托·柏辽兹	Hector Berlioz
约翰内斯·勃拉姆斯	Johannes Brahms
约翰·塞巴斯蒂安·巴赫	Johann Sebastian Bach
特罗菲姆·邓尼索维奇·李森科	Trofim Lysenko
沃尔夫冈·阿玛多伊斯·莫扎特	Wolfgang Amadeus Mozart
乔治·夏帕克	Georges Charpak
哈沃德·加德納	Howard Gardner
古斯塔夫·福樓拜	Gustave Flaubert
阿尔伯特·爱因斯坦	Albert Einstein
C·S·路易斯	C. S. Lewis
米哈伊尔·季莫费耶维奇·卡拉什尼科夫	Mikhail Kalashnikov
道格拉斯·麦克阿瑟	Douglas MacArthur
德米特里·肖斯塔科维奇	Dmitri Shostakovich
奇米·雷克南	Kimi Räikkönen
约瑟夫·艾迪生	Joseph Addison
尼尔·阿姆斯特朗	Neil Armstrong
阿瑟·柯南·道尔	Arthur Conan Doyle
奥利佛·薩克斯	Oliver Sacks
利维·維谷斯基	Lev Vygotsky
西摩尔·派普特	Seymour Papert
歇洛克·福尔摩斯	Sherlock Holmes
海因里希·楞次	Heinrich Lenz
安娜·伊凡诺芙娜·罗曼诺娃	Anna of Russia
伊丽莎白·彼得罗芙娜·罗曼诺娃	Elizabeth of Russia
鲍里斯·戈东诺夫	Boris Godunov
米哈伊尔·费奥多罗维奇·罗曼诺夫	Michael I of Russia
费奥多尔·伊万诺维奇	Feodor I of Russia
欧玛尔·海亚姆	Omar Khayyám
莪默·伽亚谟	Omar Khayyám
詹姆斯·奎尔	Dan Quayle
尤利乌斯·凱撒	Julius Caesar
威廉·冯特	Wilhelm Wundt
乔格·威廉·弗里德里希·黑格尔	Georg Wilhelm Friedrich Hegel
威廉·理查德·瓦格納	Richard Wagner
亚历山大·格拉汉姆·贝尔	Alexander Graham Bell
道林·格雷的画像	The Picture of Dorian Gray
贝特朗·德拉诺埃	Bertrand Delanoë
列夫·托爾斯泰	Leo Tolstoy
马丁·埃柏茲	Martin Ebbertz
马克·吐温	Mark Twain
斯帝芬·金	Stephen King
阿加莎·克里斯蒂	Agatha Christie
奥兰多·布鲁姆	Orlando Bloom
C·S·刘易斯	C. S. Lewis
尤利乌斯·恺撒	Julius Caesar
尼基塔·谢尔盖耶维奇·赫鲁晓夫	Nikita Khrushchev
威廉·詹姆士	William James
安德鲁·杰克逊	Andrew Jackson
马丁·范布伦	Martin Van Buren
君特·格拉斯	Günter Grass
凯文·科斯特纳	Kevin Costner
伊塔罗·卡尔维诺	Italo Calvino
乔治·蓬皮杜	Georges Pompidou
夏尔·戴高樂	Charles de Gaulle
罗尔德·亚孟森	Roald Amundsen
德怀特·D·艾森豪威尔	Dwight D. Eisenhower
哈利·S·杜鲁门	Harry S. Truman
亚历山大·谢尔盖耶维奇·普希金	Alexander Pushkin
尤里·丹尼洛维奇	Yury of Moscow
让-雅克·卢梭	Jean-Jacques Rousseau
米哈伊尔·戈尔巴乔夫	Mikhail Gorbachev
艾琳·艾德勒	Irene Adler
保罗·莫卡派乔斯	Paul Mockapetris
杰罗姆·大卫·塞林格	J. D. Salinger
J·D·塞林格	J. D. Salinger
爱德华·萨义德	Edward Said
费奥多尔·陀思妥耶夫斯基	Fyodor Dostoyevsky
鲍勃·霍克	Bob Hawke
霍雷肖·霍恩布洛尔	Horatio Hornblower
凯特·布兰切特	Cate Blanchett
简·奥斯丁	Jane Austen
亚历山大·索尔仁尼琴	Aleksandr Solzhenitsyn
尼尔·基诺克	Neil Kinnock
尼古拉斯·哥白尼	Nicolaus Copernicus
詹姆斯·麦克斯韦	James Clerk Maxwell
罗纳德·泽格勒	Ron Ziegler
弗吉尼亚·吴尔夫	Virginia Woolf
理查德·布蘭森	Richard Branson
约翰·梅纳德·凯恩斯	John Maynard Keynes
欧内斯特·海明威	Ernest Hemingway
华特·迪士尼	Walt Disney
梅纳德·凯恩斯	John Maynard Keynes
玛格丽特·杜拉斯	Marguerite Duras
克莉丝汀·阿奎萊拉	Christina Aguilera
阿尔弗雷德·马歇尔	Alfred Marshall
阿马蒂亚·库马尔·森	Amartya Sen
阿马蒂亚·森	Amartya Sen
让-巴蒂斯特·拉马克	Jean-Baptiste Lamarck
理查德·道金斯	Richard Dawkins
亚当·斯密	Adam Smith
温斯顿·丘吉尔	Winston Churchill
伊丽莎白·泰勒	Elizabeth Taylor
鲍里斯·特拉伊科夫斯基	Boris Trajkovski
帕西瓦尔·罗威尔	Percival Lowell
罗伯特·索洛	Robert Solow
阿希尔-克洛德·德彪西	Claude Debussy
约翰·查尔斯	John Charles
珀西·比希·雪莱	Percy Bysshe Shelley
尼克拉斯·卢曼	Niklas Luhmann
哈利·波特	Harry Potter
贝尼托·胡亚雷斯	Benito Juárez
保罗·基廷	Paul Keating
伊本·西那	Avicenna
弗拉基米尔·馬雅科夫斯基	Vladimir Mayakovsky
列昂尼德·伊里奇·勃列日涅夫	Leonid Brezhnev
E·M·福斯特	E. M. Forster
詹姆斯·泰特·布莱克纪念奖	James Tait Black Memorial Prize
宁那·华纳·法斯宾德	Rainer Werner Fassbinder
林纳斯·托瓦茲	Linus Torvalds
约翰·克里	John Kerry
希拉里·罗德姆·克林顿	Hillary Rodham Clinton
托马斯·哈代	Thomas Hardy
阿嘉莎·克莉丝蒂	Agatha Christie
莫罕达斯·甘地	Mohandas Karamchand Gandhi
亚弗列·希治閣	Alfred Hitchcock
尼古拉·加夫里诺维奇·车尔尼雪夫斯基	Nikolay Chernyshevsky
弗朗茨·卡夫卡	Franz Kafka
丹尼尔·布尔斯廷	Daniel J. Boorstin
保罗·温菲尔德	Paul Winfield
亨利·詹姆斯	Henry James
尤金·德马塞	Eugène-Anatole Demarçay
亚伯拉罕·林肯	Abraham Lincoln
詹姆斯·诺克斯·波尔克	James K. Polk
伍德罗·威尔逊	Woodrow Wilson
玛丽·托德	Mary Todd Lincoln
胡安·卡洛斯一世	Juan Carlos I of Spain
约翰·布朗(废奴主义者)	John Brown (abolitionist)
罗伯特·李	Robert E. Lee
尤利西斯·辛普森·格兰特	Ulysses S. Grant
根里奇·阿奇舒勒	Genrich Altshuller
蒙提·派森	Monty Python
蒙提·派森的飛行馬戲團	Monty Python's Flying Circus
大卫·贝克汉姆	David Beckham
弗拉基米尔·弗拉基米罗维奇·普京	Vladimir Putin
海伦娜·博纳姆·卡特	Helena Bonham Carter
伊迪丝·华顿	Edith Wharton
乔治·卡特莱特·马歇尔	George Marshall
罗纳德·里根	Ronald Reagan
保罗·F·拉扎斯菲尔德	Paul Lazarsfeld
西奥多·罗斯福	Theodore Roosevelt
格罗弗·克利夫兰	Grover Cleveland
富兰克林·德拉诺·罗斯福	Franklin D. Roosevelt
保罗·狄拉克	Paul Dirac
维尔纳·海森堡	Werner Heisenberg
卢德米拉·契琳娜	Ludmilla Tchérina
谢赫·艾哈迈德·亚辛	Ahmed Yassin
诺兰·布什内尔	Nolan Bushnell
阿卜杜勒-阿齐兹·兰提西	Abdel Aziz al-Rantissi
阿诺尔德·汤因比	Arnold Toynbee
儒勒·凡尔纳	Jules Verne
阿诺尔德·J·汤因比	Arnold J. Toynbee
克里斯蒂安·惠更斯	Christiaan Huygens
乔凡尼·多美尼科·卡西尼	Giovanni Domenico Cassini
冯·诺伊曼结构	Von Neumann architecture
阿尔贝特·爱因斯坦	Albert Einstein
威廉·莎士比亚	William Shakespeare
威廉·康拉德·伦琴	Wilhelm Röntgen
昆汀·塔伦蒂诺	Quentin Tarantino
威廉·麦金莱	William McKinley
史蒂夫·乔布斯	Steve Jobs
尤里·安德罗波夫	Yuri Andropov
约翰·华生	Dr. Watson
奥萨马·本·拉登	Osama bin Laden
安娜·路易絲·斯特朗	Anna Louise Strong
史提芬·乔布斯	Steve Jobs
乔治·卢卡斯	George Lucas
约翰·冯·诺伊曼	John von Neumann
皮特·乌斯蒂诺夫	Peter Ustinov
马修·李奇微	Matthew Ridgway
让·克雷蒂安	Jean Chrétien
大卫·科波菲尔(小说)	David Copperfield
理查德·斯特曼	Richard Stallman
朱塞佩·威尔第	Giuseppe Verdi
瓦勒里·季斯卡·德斯坦	Valéry Giscard d'Estaing
利昂内尔·若斯潘	Lionel Jospin
海伦·凱勒	Helen Keller
燕妮·马克思	Jenny von Westphalen
克里门特·伏罗希洛夫	Kliment Voroshilov
费雯·丽	Vivien Leigh
格奥尔基·康斯坦丁诺维奇·朱可夫	Georgy Zhukov
威廉·萨默塞特·毛姆	W. Somerset Maugham
蒙蒂·琼斯	Monty Jones
钦吉斯·艾特玛托夫	Chinghiz Aitmatov
尤里·加加林	Yuri Gagarin
沃纳·冯·布劳恩	Wernher von Braun
英格丽·褒曼	Ingrid Bergman
艾萨克·阿西莫夫	Isaac Asimov
尼古拉·齐奥塞斯库	Nicolae Ceaușescu
埃尔维斯·皮禮士利	Elvis Presley
弗朗西斯科·佛朗哥	Francisco Franco
斯蒂芬·斯皮尔伯格	Steven Spielberg
藤子·F·不二雄	Fujiko F. Fujio
爱伦·坡	Edgar Allan Poe
米哈伊尔·伏龙芝	Mikhail Frunze
科菲·安南	Kofi Annan
威廉·华兹华斯	William Wordsworth
德尼·狄德罗	Denis Diderot
马丁·斯科塞斯	Martin Scorsese
阿弗莱德·希区柯克	Alfred Hitchcock
德斯汀·荷夫曼	Dustin Hoffman
弗朗西斯·科波拉	Francis Ford Coppola
迪克·切尼	Dick Cheney
保罗·塞尚	Paul Cézanne
查理·卓别林	Charlie Chaplin
弗朗西斯·福特·科波拉	Francis Ford Coppola
阿卜杜拉·阿齐兹·兰提西	Abdel Aziz al-Rantissi
托尼·布雷爾	Tony Blair
乔治·W·布希	George W. Bush
吉姆·坎塔卢波	Jim Cantalupo
米开朗基罗·安东尼奥尼	Michelangelo Antonioni
夏绿蒂·勃朗特	Charlotte Brontë
埃尔温·隆美尔	Erwin Rommel
儒勒·昂利·庞加莱	Henri Poincaré
德米特里·伊万诺维奇·门捷列夫	Dmitri Mendeleev
瓦茨拉夫·克劳斯	Václav Klaus
差利·卓别林	Charlie Chaplin
奥黛丽·赫本	Audrey Hepburn
维他斯·白令	Vitus Bering
秀兰·邓波儿	Shirley Temple
弗朗西斯·斯科特·菲茨杰拉德	F. Scott Fitzgerald
佛兰西斯·史考特·费兹杰罗	F. Scott Fitzgerald
史蒂芬·沃爾夫勒姆	Stephen Wolfram
奥古斯特·孔德	Auguste Comte
南洋·星洲联合早报	Lianhe Zaobao
罗伯特·斯科特	Robert Falcon Scott
葛丽泰·嘉宝	Greta Garbo
阿斯泰·妮尔森	Asta Nielsen
阿斯泰·尼尔森	Asta Nielsen
莫里兹·斯蒂勒	Mauritz Stiller
哥斯达·柏林世家	The Saga of Gosta Berling
穆阿迈尔·卡扎菲	Muammar Gaddafi
玛哈特玛·甘地	Mohandas Karamchand Gandhi
伯特兰·罗素	Bertrand Russell
大卫·芬奇	David Fincher
大卫·林奇	David Lynch
奥利华·史東	Oliver Stone
乔治·格什温	George Gershwin
彼得·杰克逊	Peter Jackson
十·一黄金周	National Day of the People's Republic of China
史蒂文·索德伯格	Steven Soderbergh
格奥尔格·威廉·帕布斯特	Georg Wilhelm Pabst
哈罗德·威爾遜	Harold Wilson
伊桑·科恩	Coen brothers
艾哈迈德·卡德罗夫	Akhmad Kadyrov
菲德尔·瓦尔德斯·拉莫斯	Fidel V. Ramos
马赛尔·卡尔内	Marcel Carné
焦阿基诺·罗西尼	Gioachino Rossini
山姆·休士頓	Sam Houston
儒略·恺撒	Julius Caesar
尼克·贝尔格	Nick Berg
杰克·尼科尔森	Jack Nicholson
艾伦·格林斯潘	Alan Greenspan
托马斯·特兰斯特罗默	Tomas Tranströmer
蒂姆·伯顿	Tim Burton
马克·拉瓦卢马纳纳	Marc Ravalomanana
米哈伊尔·薩卡什維利	Mikheil Saakashvili
马丁·路德·金	Martin Luther King, Jr.
阿尔·戈尔	Al Gore
林登·约翰逊	Lyndon B. Johnson
达·芬奇	Leonardo da Vinci
拉斐尔·圣齐奥	Raphael
尼古劳斯·哈农库特	Nikolaus Harnoncourt
蒂姆·罗宾斯	Tim Robbins
阿尔弗雷德·诺贝尔	Alfred Nobel
贝尼托·墨索里尼	Benito Mussolini
赫伯特·胡佛	Herbert Hoover
汤姆·克魯斯	Tom Cruise
努尔苏丹·纳扎尔巴耶夫	Nursultan Nazarbayev
努·纳扎尔巴耶夫	Nursultan Nazarbayev
索尼娅·甘地	Sonia Gandhi
索妮娅·甘地	Sonia Gandhi
阿尔弗雷德·伯纳德·诺贝尔	Alfred Nobel
索妮亚·甘地	Sonia Gandhi
塞拉潘·纳丹	S.R. Nathan
卡尔·刘易斯	Carl Lewis
曼莫汉·辛格	Manmohan Singh
罗伯托·卡洛斯	Roberto Carlos (footballer)
弗朗茨·舒伯特	Franz Schubert
安德斯·海尔斯伯格	Anders Hejlsberg
若雪·柯利	Rachel Corrie
夏尔·波德莱尔	Charles Baudelaire
列夫·托洛茨基	Leon Trotsky
亚历山大·克伦斯基	Alexander Kerensky
艾山·买合苏木	Hasan Mahsum
伊萨克·牛顿	Isaac Newton
斯蒂夫·沃兹尼亚克	Steve Wozniak
罗宾德拉纳特·泰戈尔	Rabindranath Tagore
托马斯·库恩	Thomas Kuhn
阿纳斯塔西娅·尼古拉耶芙娜·罗曼诺娃	Grand Duchess Anastasia Nikolaevna of Russia
卡尔·亨利希·乌尔利克斯	Karl Heinrich Ulrichs
路易斯·伊纳西奥·卢拉·达席尔瓦	Luiz Inácio Lula da Silva
亨利·福特	Henry Ford
路易斯·伊纳西奥·卢拉·达·席尔瓦	Luiz Inácio Lula da Silva
威廉·亨利·皮克林	William Henry Pickering
沃伦·盖玛利尔·哈定	Warren G. Harding
梅尔·吉布森	Mel Gibson
卡尔文·柯立芝	Calvin Coolidge
加齐·亚瓦尔	Ghazi Mashal Ajil al-Yawer
伊亚德·阿拉维	Ayad Allawi
马兰·梅森	Marin Mersenne
马丁·施莱廷格	Martin Schrettinger
马可·波罗	Marco Polo
威廉·皮克林	William Pickering
乔凡尼·卡西尼	Giovanni Domenico Cassini
让·保尔·萨特	Jean-Paul Sartre
玛丽亚·凱莉	Mariah Carey
弗里德里希·阿道夫·艾伯特	Friedrich Adolf Ebert
亚历山达·普希金	Alexander Pushkin
乔治·伯纳·肖	George Bernard Shaw
詹姆斯·A·加菲尔德	James A. Garfield
保罗·艾伦	Paul Allen
马龙·白兰度	Marlon Brando
比尔·蓋茨	Bill Gates
本尼托·墨索里尼	Benito Mussolini
伊娃·裴隆	Eva Perón
托马斯·潘恩	Thomas Paine
阿里埃勒·沙龙	Ariel Sharon
库尔特·哥德尔	Kurt Gödel
加夫里洛·普林西普	Gavrilo Princip
保罗·约翰逊	Paul Marshall Johnson, Jr.
约翰·拉斯金	John Ruskin
拿破仓·波拿巴	Napoleon
约翰·罗斯金	John Ruskin
维克多·奥塔	Victor Horta
保罗·布雷默	L. Paul Bremer
L·保罗·布雷默	L. Paul Bremer
玛丽亚·莎拉波娃	Maria Sharapova
赫尔穆特·科尔	Helmut Kohl
奥托·冯·俾斯麦	Otto von Bismarck
理查德·李·阿米蒂奇	Richard Armitage (politician)
理查德·L·阿米蒂奇	Richard Armitage (politician)
理查德·阿米蒂奇	Richard Armitage (politician)
艾里阿斯·隆洛特	Elias Lönnrot
维托里奥·维内托级战列舰	Littorio class battleship
伍迪·艾伦	Woody Allen
约瑟夫·海顿	Joseph Haydn
托马斯·克莱斯蒂尔	Thomas Klestil
奥托·馮·俾斯麥	Otto von Bismarck
梵·高	Vincent van Gogh
米哈伊尔·瓦西里耶维奇·罗蒙诺索夫	Mikhail Lomonosov
奥古斯特·施莱谢尔	August Schleicher
奥古斯特·罗丹	Auguste Rodin
埃瓦里斯特·伽罗瓦	Évariste Galois
格奥尔格·康托尔	Georg Cantor
米歇尔·福柯	Michel Foucault
欧仁·德拉克罗瓦	Eugène Delacroix
埃列娜·齐奥塞斯库	Elena Ceaușescu
纳尔逊·曼德拉	Nelson Mandela
尤里西斯·辛普森·格兰特	Ulysses S. Grant
维克多·雨果	Victor Hugo
吉米·卡特	Jimmy Carter
杰拉尔德·福特	Gerald Ford
威廉·亨利·哈里森	William Henry Harrison
威廉·霍华德·塔夫脱	William Howard Taft
路易斯·亨利·摩尔根	Lewis H. Morgan
霍斯特·克勒	Horst Köhler
史蒂芬·霍金	Stephen Hawking
让·德·拉封丹	Jean de La Fontaine
叶丽萨维塔·彼得罗芙娜	Elizabeth of Russia
约翰·泰勒	John Tyler
莱恩·笛卡尔	René Descartes
约翰尼斯·特里特米乌斯	Johannes Trithemius
科顿·菲茨西蒙斯	Cotton Fitzsimmons
詹姆斯·弗雷澤	James George Frazer
弗里德利·奥古斯特·巴特勒迪	Frédéric Auguste Bartholdi
让·西贝柳斯	Jean Sibelius
赫伯特·冯·卡拉扬	Herbert von Karajan
米格尔·德·塞万提斯	Miguel de Cervantes
米格尔·德·塞万提斯·萨维德拉	Miguel de Cervantes
钦吉斯·托列库洛维奇·艾特马托夫	Chinghiz Aitmatov
马里安·雷耶夫斯基	Marian Rejewski
约翰·卡德威尔·卡尔霍恩	John C. Calhoun
焦尔达诺·布魯諾	Giordano Bruno
格里高利·叶菲莫维奇·拉斯普京	Grigori Rasputin
弗朗西斯·克里克	Francis Crick
阿布萨马特·马萨利耶夫	Absamat Masaliyev
梅赛德斯·奔驰	Mercedes-Benz
弗里德里希·哈耶克	Friedrich Hayek
亨利·卡蒂尔-布雷松	Henri Cartier-Bresson
梅尔·吉勃遜	Mel Gibson
威廉·梅巴赫	Wilhelm Maybach
哈尔·斯帕克斯	Hal Sparks
尼古拉·谢苗诺夫	Nikolay Semyonov
佛罗多·巴金斯	Frodo Baggins
古斯塔夫·多雷	Gustave Doré
伊斯梅尔·罗德里格斯	Ismael Rodríguez
伯纳德·列文	Bernard Levin
菲德尔·卡斯特罗	Fidel Castro
戴维·本-古里安	David Ben-Gurion
阿卜杜勒·阿齐兹·兰提	Abdel Aziz al-Rantissi
切斯瓦夫·米沃什	Czesław Miłosz
米哈伊尔·谢尔盖耶维奇·戈尔巴乔夫	Mikhail Gorbachev
赖莎·戈尔巴乔娃	Raisa Gorbachova
J·K·罗琳	J. K. Rowling
卡尔·萨根	Carl Sagan
弗朗索瓦·韦达	François Viète
法兰西斯·維埃塔	François Viète
皮埃尔·德·顾拜旦	Pierre de Coubertin
威廉·馮·洪堡	Wilhelm von Humboldt
塞缪尔·亚当斯	Samuel Adams
丹尼尔·谢司	Daniel Shays
约翰·汉考克	John Hancock
埃尔默·伯恩斯坦	Elmer Bernstein
伊利亚·普里高津	Ilya Prigogine
伊利亚·普里戈金	Ilya Prigogine
杰瑞·布洛克海默	Jerry Bruckheimer
凯特·布蘭琪	Cate Blanchett
乔·西佛	Joel Silver
詹姆斯·鲍登	James Bowdoin
约瑟夫·雷芒德·麦卡锡	Joseph McCarthy
拉里·沃尔	Larry Wall
约翰·兰辛	John Lansing, Jr.
扎卡里·泰勒	Zachary Taylor
克拉克·盖博	Clark Gable
凯文·科斯纳	Kevin Costner
艾尔·帕西诺	Al Pacino
弗雷德·惠普尔	Fred Lawrence Whipple
詹姆斯·卡梅隆	James Cameron
科利·多克托罗	Cory Doctorow
科里·多克托罗	Cory Doctorow
约翰·拉特利奇	John Rutledge
爱德华·拉特利奇	Edward Rutledge
柯德莉·夏萍	Audrey Hepburn
贝尔托·布莱希特	Bertolt Brecht
富兰克林·罗斯福	Franklin D. Roosevelt
拜尔斯·诺德	Beyers Naudé
但丁·阿利吉耶里	Dante Alighieri
尼可罗·马基亚维利	Niccolò Machiavelli
马修·谢巴德	Matthew Shepard
奥利弗·克伦威尔	Oliver Cromwell
蒂托·李维	Livy
约翰·霍金斯	John Hawkins
乔凡尼·多米尼科·卡西尼	Giovanni Domenico Cassini
琴·格蕾	Lady Jane Grey
约翰·保罗·琼斯	John Paul Jones
雅克·卡蒂埃	Jacques Cartier
活地·阿倫	Woody Allen
阿尔佛雷德·希区柯克	Alfred Hitchcock
皮埃尔·特鲁多	Pierre Trudeau
亚历山大·瓦西里耶維奇·高爾察克	Alexander Kolchak
马克斯·普朗克学会	Max Planck Society
弗朗西斯·培根	Francis Bacon
